Story #,Title,Story Text,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5
119,The Boy’s Journey 119,"A boy’s heartbeat was so loud, others heard it.
It pulsed like a drum.
One day, it stopped.
And the world went silent.",What happens at the beginning of story 119?,"A boy’s heartbeat was so loud, others heard it",What is the key event in story 119?,It pulsed like a drum,What surprising moment occurs in story 119?,"One day, it stopped",What happens near the end of story 119?,And the world went silent.,What is the overall theme of story 119?,And the world went silent.
120,The Man’s Fate 120,"A man bought a box labeled “Do Not Open.”
He opened it.
Inside was a note: “Too late.”
He never closed his eyes again.",What happens at the beginning of story 120?,A man bought a box labeled “Do Not Open.” He opened it,What is the key event in story 120?,Inside was a note: “Too late.” He never closed his eyes again.,What surprising moment occurs in story 120?,Inside was a note: “Too late.” He never closed his eyes again.,What happens near the end of story 120?,Inside was a note: “Too late.” He never closed his eyes again.,What is the overall theme of story 120?,Inside was a note: “Too late.” He never closed his eyes again.
121,A Child’s Wish 121,"A child caught lightning in a jar.
It lit up her room forever.
She never turned on the lights again.
Until the jar cracked.",What happens at the beginning of story 121?,A child caught lightning in a jar,What is the key event in story 121?,It lit up her room forever,What surprising moment occurs in story 121?,She never turned on the lights again,What happens near the end of story 121?,Until the jar cracked.,What is the overall theme of story 121?,Until the jar cracked.
122,The Man’s Fate 122,"A woman found a staircase in her closet.
It spiraled upward endlessly.
She climbed for days.
And still hasn’t come down.",What happens at the beginning of story 122?,A woman found a staircase in her closet,What is the key event in story 122?,It spiraled upward endlessly,What surprising moment occurs in story 122?,She climbed for days,What happens near the end of story 122?,And still hasn’t come down.,What is the overall theme of story 122?,And still hasn’t come down.
123,The Boy’s Journey 123,"A boy whispered secrets to a tree.
The tree whispered back.
It told him when he would die.
He stopped visiting.",What happens at the beginning of story 123?,A boy whispered secrets to a tree,What is the key event in story 123?,The tree whispered back,What surprising moment occurs in story 123?,It told him when he would die,What happens near the end of story 123?,He stopped visiting.,What is the overall theme of story 123?,He stopped visiting.
124,The Girl’s Secret 124,"A girl woke with frost on her eyelashes.
She breathed snowflakes.
Winter followed her everywhere.
Until spring refused to come.",What happens at the beginning of story 124?,A girl woke with frost on her eyelashes,What is the key event in story 124?,She breathed snowflakes,What surprising moment occurs in story 124?,Winter followed her everywhere,What happens near the end of story 124?,Until spring refused to come.,What is the overall theme of story 124?,Until spring refused to come.
125,The Man’s Fate 125,"A man found footprints on his ceiling.
He followed them.
They led to a trapdoor in the sky.
He opened it and disappeared.",What happens at the beginning of story 125?,A man found footprints on his ceiling,What is the key event in story 125?,He followed them,What surprising moment occurs in story 125?,They led to a trapdoor in the sky,What happens near the end of story 125?,He opened it and disappeared.,What is the overall theme of story 125?,He opened it and disappeared.
126,A Child’s Wish 126,"A child planted a lullaby in the soil.
It grew into a music tree.
Everyone who slept beneath it never woke.
The child still hums it.",What happens at the beginning of story 126?,A child planted a lullaby in the soil,What is the key event in story 126?,It grew into a music tree,What surprising moment occurs in story 126?,Everyone who slept beneath it never woke,What happens near the end of story 126?,The child still hums it.,What is the overall theme of story 126?,The child still hums it.
127,The Boy’s Journey 127,"A boy’s reflection winked at him.
It stepped out of the mirror.
And replaced him.
No one noticed.",What happens at the beginning of story 127?,A boy’s reflection winked at him,What is the key event in story 127?,It stepped out of the mirror,What surprising moment occurs in story 127?,And replaced him,What happens near the end of story 127?,No one noticed.,What is the overall theme of story 127?,No one noticed.
128,The Man’s Fate 128,"A woman dreamed of a city under the sea.
Each night she visited it.
One morning, she didn’t wake.
The sea gained another citizen.",What happens at the beginning of story 128?,A woman dreamed of a city under the sea,What is the key event in story 128?,Each night she visited it,What surprising moment occurs in story 128?,"One morning, she didn’t wake",What happens near the end of story 128?,The sea gained another citizen.,What is the overall theme of story 128?,The sea gained another citizen.
129,The Man’s Fate 129,"A man collected broken clocks.
He fixed none.
Time stayed broken in his house.
And he never aged.",What happens at the beginning of story 129?,A man collected broken clocks,What is the key event in story 129?,He fixed none,What surprising moment occurs in story 129?,Time stayed broken in his house,What happens near the end of story 129?,And he never aged.,What is the overall theme of story 129?,And he never aged.
130,A Child’s Wish 130,"A child blew out birthday candles.
The wish came true.
The candles never lit again.
Neither did the sun.",What happens at the beginning of story 130?,A child blew out birthday candles,What is the key event in story 130?,The wish came true,What surprising moment occurs in story 130?,The candles never lit again,What happens near the end of story 130?,Neither did the sun.,What is the overall theme of story 130?,Neither did the sun.
131,The Girl’s Secret 131,"A girl wrote letters to a ghost.
She left them under her pillow.
One day, a reply appeared.
It said, “Stop.”",What happens at the beginning of story 131?,A girl wrote letters to a ghost,What is the key event in story 131?,She left them under her pillow,What surprising moment occurs in story 131?,"One day, a reply appeared",What happens near the end of story 131?,"It said, “Stop.”",What is the overall theme of story 131?,"It said, “Stop.”"
132,The Boy’s Journey 132,"A boy carved birds from paper.
They flew away.
He carved one with his own name.
And never returned.",What happens at the beginning of story 132?,A boy carved birds from paper,What is the key event in story 132?,They flew away,What surprising moment occurs in story 132?,He carved one with his own name,What happens near the end of story 132?,And never returned.,What is the overall theme of story 132?,And never returned.
133,The Man’s Fate 133,"A woman painted doors on her walls.
Each night, one opened.
She never knew which.
Until she walked through one and didn’t come back.",What happens at the beginning of story 133?,A woman painted doors on her walls,What is the key event in story 133?,"Each night, one opened",What surprising moment occurs in story 133?,She never knew which,What happens near the end of story 133?,Until she walked through one and didn’t come back.,What is the overall theme of story 133?,Until she walked through one and didn’t come back.
134,A Child’s Wish 134,"A child wore a crown made of whispers.
It told her what others thought.
She stopped wearing it.
But the whispers never stopped.",What happens at the beginning of story 134?,A child wore a crown made of whispers,What is the key event in story 134?,It told her what others thought,What surprising moment occurs in story 134?,She stopped wearing it,What happens near the end of story 134?,But the whispers never stopped.,What is the overall theme of story 134?,But the whispers never stopped.
135,The Man’s Fate 135,"A man found a map in his dream.
He followed it in real life.
It led to a door in the desert.
Behind it was his younger self.",What happens at the beginning of story 135?,A man found a map in his dream,What is the key event in story 135?,He followed it in real life,What surprising moment occurs in story 135?,It led to a door in the desert,What happens near the end of story 135?,Behind it was his younger self.,What is the overall theme of story 135?,Behind it was his younger self.
136,The Boy’s Journey 136,"A boy found a book with his name as the title.
He read it.
It ended with his death.
The next day, it came true.",What happens at the beginning of story 136?,A boy found a book with his name as the title,What is the key event in story 136?,He read it,What surprising moment occurs in story 136?,It ended with his death,What happens near the end of story 136?,"The next day, it came true.",What is the overall theme of story 136?,"The next day, it came true."
137,The Girl’s Secret 137,"A girl sang to the moon every night.
One night, it replied.
It asked her to come up.
She never sang again.",What happens at the beginning of story 137?,A girl sang to the moon every night,What is the key event in story 137?,"One night, it replied",What surprising moment occurs in story 137?,It asked her to come up,What happens near the end of story 137?,She never sang again.,What is the overall theme of story 137?,She never sang again.
138,The Man’s Fate 138,"A man collected shadows in jars.
He sold them to people afraid of the dark.
One jar broke.
And the night spilled out.",What happens at the beginning of story 138?,A man collected shadows in jars,What is the key event in story 138?,He sold them to people afraid of the dark,What surprising moment occurs in story 138?,One jar broke,What happens near the end of story 138?,And the night spilled out.,What is the overall theme of story 138?,And the night spilled out.
139,A Child’s Wish 139,"A child wished on a falling star.
It crashed into her backyard.
She kept it in a shoebox.
Until it grew too big.",What happens at the beginning of story 139?,A child wished on a falling star,What is the key event in story 139?,It crashed into her backyard,What surprising moment occurs in story 139?,She kept it in a shoebox,What happens near the end of story 139?,Until it grew too big.,What is the overall theme of story 139?,Until it grew too big.
140,The Boy’s Journey 140,"A boy wore shoes that never stopped walking.
They moved on their own.
He couldn’t take them off.
And walked out of the world.",What happens at the beginning of story 140?,A boy wore shoes that never stopped walking,What is the key event in story 140?,They moved on their own,What surprising moment occurs in story 140?,He couldn’t take them off,What happens near the end of story 140?,And walked out of the world.,What is the overall theme of story 140?,And walked out of the world.
141,The Girl’s Secret 141,"A girl’s laughter cracked glass.
She stopped laughing.
But the cracks stayed.
Even in her heart.",What happens at the beginning of story 141?,A girl’s laughter cracked glass,What is the key event in story 141?,She stopped laughing,What surprising moment occurs in story 141?,But the cracks stayed,What happens near the end of story 141?,Even in her heart.,What is the overall theme of story 141?,Even in her heart.
142,The Man’s Fate 142,"A man played piano in the rain.
Each note turned into lightning.
He played louder.
And the storm never ended.",What happens at the beginning of story 142?,A man played piano in the rain,What is the key event in story 142?,Each note turned into lightning,What surprising moment occurs in story 142?,He played louder,What happens near the end of story 142?,And the storm never ended.,What is the overall theme of story 142?,And the storm never ended.
143,The Man’s Fate 143,"A woman wore gloves made of ice.
They never melted.
She forgot what warmth felt like.
Until someone held her hand.",What happens at the beginning of story 143?,A woman wore gloves made of ice,What is the key event in story 143?,They never melted,What surprising moment occurs in story 143?,She forgot what warmth felt like,What happens near the end of story 143?,Until someone held her hand.,What is the overall theme of story 143?,Until someone held her hand.
144,A Child’s Wish 144,"A child followed a rainbow.
At the end was another child.
They both pointed at each other.
And vanished.",What happens at the beginning of story 144?,A child followed a rainbow,What is the key event in story 144?,At the end was another child,What surprising moment occurs in story 144?,They both pointed at each other,What happens near the end of story 144?,And vanished.,What is the overall theme of story 144?,And vanished.
145,The Boy’s Journey 145,"A boy’s breath created clouds.
He filled the sky.
It rained every time he cried.
The world never dried.",What happens at the beginning of story 145?,A boy’s breath created clouds,What is the key event in story 145?,He filled the sky,What surprising moment occurs in story 145?,It rained every time he cried,What happens near the end of story 145?,The world never dried.,What is the overall theme of story 145?,The world never dried.
146,The Girl’s Secret 146,"A girl opened a book with no words.
She wrote her name inside.
The pages filled themselves.
With her future.",What happens at the beginning of story 146?,A girl opened a book with no words,What is the key event in story 146?,She wrote her name inside,What surprising moment occurs in story 146?,The pages filled themselves,What happens near the end of story 146?,With her future.,What is the overall theme of story 146?,With her future.
147,The Man’s Fate 147,"A man found a clock inside his chest.
It ticked with every heartbeat.
One day, it stopped.
He didn’t.",What happens at the beginning of story 147?,A man found a clock inside his chest,What is the key event in story 147?,It ticked with every heartbeat,What surprising moment occurs in story 147?,"One day, it stopped",What happens near the end of story 147?,He didn’t.,What is the overall theme of story 147?,He didn’t.
148,A Child’s Wish 148,"A child fed crumbs to stars.
They grew brighter.
One night, they fell down.
To thank her.",What happens at the beginning of story 148?,A child fed crumbs to stars,What is the key event in story 148?,They grew brighter,What surprising moment occurs in story 148?,"One night, they fell down",What happens near the end of story 148?,To thank her.,What is the overall theme of story 148?,To thank her.
149,The Girl’s Secret 149,"A girl found a coin that granted wishes.
She used it once.
Then lost it.
Her wish was to forget.",What happens at the beginning of story 149?,A girl found a coin that granted wishes,What is the key event in story 149?,She used it once,What surprising moment occurs in story 149?,Then lost it,What happens near the end of story 149?,Her wish was to forget.,What is the overall theme of story 149?,Her wish was to forget.
150,The Man’s Fate 150,"A man painted windows on his walls.
He saw skies through them.
One day, he climbed through.
And never looked back.",What happens at the beginning of story 150?,A man painted windows on his walls,What is the key event in story 150?,He saw skies through them,What surprising moment occurs in story 150?,"One day, he climbed through",What happens near the end of story 150?,And never looked back.,What is the overall theme of story 150?,And never looked back.
151,The Boy’s Journey 151,"A boy carried a candle that never went out.
It burned brighter in darkness.
He shared it with everyone.
Until only he was left.",What happens at the beginning of story 151?,A boy carried a candle that never went out,What is the key event in story 151?,It burned brighter in darkness,What surprising moment occurs in story 151?,He shared it with everyone,What happens near the end of story 151?,Until only he was left.,What is the overall theme of story 151?,Until only he was left.
152,The Man’s Fate 152,"A woman wrote poems on leaves.
The wind carried them away.
People found them miles apart.
And thought nature was speaking.",What happens at the beginning of story 152?,A woman wrote poems on leaves,What is the key event in story 152?,The wind carried them away,What surprising moment occurs in story 152?,People found them miles apart,What happens near the end of story 152?,And thought nature was speaking.,What is the overall theme of story 152?,And thought nature was speaking.
153,A Child’s Wish 153,"A child found a seashell that whispered.
It told stories of the deep.
She listened every night.
Until the ocean came for her.",What happens at the beginning of story 153?,A child found a seashell that whispered,What is the key event in story 153?,It told stories of the deep,What surprising moment occurs in story 153?,She listened every night,What happens near the end of story 153?,Until the ocean came for her.,What is the overall theme of story 153?,Until the ocean came for her.
154,The Man’s Fate 154,"A man built wings from mirrors.
He flew toward the sun.
The mirrors cracked.
And he saw himself fall.",What happens at the beginning of story 154?,A man built wings from mirrors,What is the key event in story 154?,He flew toward the sun,What surprising moment occurs in story 154?,The mirrors cracked,What happens near the end of story 154?,And he saw himself fall.,What is the overall theme of story 154?,And he saw himself fall.
155,The Girl’s Secret 155,"A girl painted stars on her ceiling.
They began to glow.
One night, they opened.
And she floated through.",What happens at the beginning of story 155?,A girl painted stars on her ceiling,What is the key event in story 155?,They began to glow,What surprising moment occurs in story 155?,"One night, they opened",What happens near the end of story 155?,And she floated through.,What is the overall theme of story 155?,And she floated through.
156,The Boy’s Journey 156,"A boy’s dreams escaped at dawn.
They lived in the clouds.
He pointed at them each day.
No one believed him.",What happens at the beginning of story 156?,A boy’s dreams escaped at dawn,What is the key event in story 156?,They lived in the clouds,What surprising moment occurs in story 156?,He pointed at them each day,What happens near the end of story 156?,No one believed him.,What is the overall theme of story 156?,No one believed him.
157,The Man’s Fate 157,"A woman wove a scarf from moonlight.
It kept her warm in shadows.
She gave it to a child.
The moon never shone again.",What happens at the beginning of story 157?,A woman wove a scarf from moonlight,What is the key event in story 157?,It kept her warm in shadows,What surprising moment occurs in story 157?,She gave it to a child,What happens near the end of story 157?,The moon never shone again.,What is the overall theme of story 157?,The moon never shone again.
158,A Child’s Wish 158,"A child collected raindrops in jars.
They sang when shaken.
She made a symphony of storms.
Until the sky went silent.",What happens at the beginning of story 158?,A child collected raindrops in jars,What is the key event in story 158?,They sang when shaken,What surprising moment occurs in story 158?,She made a symphony of storms,What happens near the end of story 158?,Until the sky went silent.,What is the overall theme of story 158?,Until the sky went silent.
159,The Man’s Fate 159,"A man opened a book of names.
One name was his.
He closed it.
Too late.",What happens at the beginning of story 159?,A man opened a book of names,What is the key event in story 159?,One name was his,What surprising moment occurs in story 159?,He closed it,What happens near the end of story 159?,Too late.,What is the overall theme of story 159?,Too late.
160,The Girl’s Secret 160,"A girl walked through mirrors.
Each one led to a new world.
She returned every time.
Until one mirror cracked.",What happens at the beginning of story 160?,A girl walked through mirrors,What is the key event in story 160?,Each one led to a new world,What surprising moment occurs in story 160?,She returned every time,What happens near the end of story 160?,Until one mirror cracked.,What is the overall theme of story 160?,Until one mirror cracked.
161,The Boy’s Journey 161,"A boy wore a mask that smiled.
He never took it off.
People loved the mask.
No one knew he was crying.",What happens at the beginning of story 161?,A boy wore a mask that smiled,What is the key event in story 161?,He never took it off,What surprising moment occurs in story 161?,People loved the mask,What happens near the end of story 161?,No one knew he was crying.,What is the overall theme of story 161?,No one knew he was crying.
162,The Man’s Fate 162,"A woman counted grains of sand.
Each one held a memory.
She dropped one.
And forgot her name.",What happens at the beginning of story 162?,A woman counted grains of sand,What is the key event in story 162?,Each one held a memory,What surprising moment occurs in story 162?,She dropped one,What happens near the end of story 162?,And forgot her name.,What is the overall theme of story 162?,And forgot her name.
163,A Child’s Wish 163,"A child planted stars in the ground.
They grew into light-trees.
The forest glowed.
Until someone chopped them down.",What happens at the beginning of story 163?,A child planted stars in the ground,What is the key event in story 163?,They grew into light-trees,What surprising moment occurs in story 163?,The forest glowed,What happens near the end of story 163?,Until someone chopped them down.,What is the overall theme of story 163?,Until someone chopped them down.
164,The Boy’s Journey 164,"A boy drew a door on his wall.
It opened.
He stepped through.
And the door erased itself.",What happens at the beginning of story 164?,A boy drew a door on his wall,What is the key event in story 164?,It opened,What surprising moment occurs in story 164?,He stepped through,What happens near the end of story 164?,And the door erased itself.,What is the overall theme of story 164?,And the door erased itself.
165,The Girl’s Secret 165,"A girl found a song under her bed.
It played when she was alone.
She danced with it.
Until it stopped.",What happens at the beginning of story 165?,A girl found a song under her bed,What is the key event in story 165?,It played when she was alone,What surprising moment occurs in story 165?,She danced with it,What happens near the end of story 165?,Until it stopped.,What is the overall theme of story 165?,Until it stopped.
166,The Man’s Fate 166,"A man painted rainbows in the rain.
They stayed after the storm.
People called him magic.
He called it color.",What happens at the beginning of story 166?,A man painted rainbows in the rain,What is the key event in story 166?,They stayed after the storm,What surprising moment occurs in story 166?,People called him magic,What happens near the end of story 166?,He called it color.,What is the overall theme of story 166?,He called it color.
167,A Child’s Wish 167,"A child whispered to fire.
It listened.
They became friends.
Until it burned her house.",What happens at the beginning of story 167?,A child whispered to fire,What is the key event in story 167?,It listened,What surprising moment occurs in story 167?,They became friends,What happens near the end of story 167?,Until it burned her house.,What is the overall theme of story 167?,Until it burned her house.
168,The Boy’s Journey 168,"A boy found a seashell that whispered secrets of the ocean. Each night, it revealed a new tale of forgotten ships and drowned treasures. One evening, it told him of a hidden cave nearby. The boy followed, only to find the sea waiting to take him.",What happens at the beginning of story 168?,A boy found a seashell that whispered secrets of the ocean,What is the key event in story 168?,"Each night, it revealed a new tale of forgotten ships and drowned treasures",What surprising moment occurs in story 168?,"One evening, it told him of a hidden cave nearby",What happens near the end of story 168?,"The boy followed, only to find the sea waiting to take him.",What is the overall theme of story 168?,"The boy followed, only to find the sea waiting to take him."
169,The Silent Painter 169,"A painter discovered her canvases changed overnight, revealing things she never painted. One morning, a storm appeared on the canvas. That afternoon, the storm came for real. She stopped painting, but the world had already learned to listen to her art.",What happens at the beginning of story 169?,"A painter discovered her canvases changed overnight, revealing things she never painted",What is the key event in story 169?,"One morning, a storm appeared on the canvas",What surprising moment occurs in story 169?,"That afternoon, the storm came for real",What happens near the end of story 169?,"She stopped painting, but the world had already learned to listen to her art.",What is the overall theme of story 169?,"She stopped painting, but the world had already learned to listen to her art."
170,A Child’s Wish 170,"A lost robot wandered into a small town. Children adopted it and taught it to play tag. It grew to love the sound of their laughter. When its creators came to take it back, the robot refused to leave.",What happens at the beginning of story 170?,A lost robot wandered into a small town,What is the key event in story 170?,Children adopted it and taught it to play tag,What surprising moment occurs in story 170?,It grew to love the sound of their laughter,What happens near the end of story 170?,"When its creators came to take it back, the robot refused to leave.",What is the overall theme of story 170?,"When its creators came to take it back, the robot refused to leave."
171,The Man’s Fate 171,"A man found a coin that always landed on heads. He gambled his way to fortune, never losing a toss. But soon he realized it wasn’t luck—it was fate bending to the coin’s will. And fate always demanded payment.",What happens at the beginning of story 171?,A man found a coin that always landed on heads,What is the key event in story 171?,"He gambled his way to fortune, never losing a toss",What surprising moment occurs in story 171?,But soon he realized it wasn’t luck—it was fate bending to the coin’s will,What happens near the end of story 171?,And fate always demanded payment.,What is the overall theme of story 171?,And fate always demanded payment.
172,The Man’s Fate 172,An old tree grew in the middle of a battlefield. Soldiers swore its leaves whispered to them. Those who listened too closely dropped their weapons and fled. The tree was simply tired of watching humans fight.,What happens at the beginning of story 172?,An old tree grew in the middle of a battlefield,What is the key event in story 172?,Soldiers swore its leaves whispered to them,What surprising moment occurs in story 172?,Those who listened too closely dropped their weapons and fled,What happens near the end of story 172?,The tree was simply tired of watching humans fight.,What is the overall theme of story 172?,The tree was simply tired of watching humans fight.
173,The Cats’ Gift 173,"A stray cat wandered into a library. Nobody noticed at first, but books began vanishing and reappearing at night. The librarian followed the cat one evening and discovered a secret library beneath the floor. The cat was its guardian.",What happens at the beginning of story 173?,A stray cat wandered into a library,What is the key event in story 173?,"Nobody noticed at first, but books began vanishing and reappearing at night",What surprising moment occurs in story 173?,The librarian followed the cat one evening and discovered a secret library beneath the floor,What happens near the end of story 173?,The cat was its guardian.,What is the overall theme of story 173?,The cat was its guardian.
174,The Girl’s Secret 174,"A girl planted a seed in her backyard, not knowing it was magical. Overnight, a massive beanstalk reached the clouds. She climbed and found a city of forgotten gods. They begged her not to leave them again.",What happens at the beginning of story 174?,"A girl planted a seed in her backyard, not knowing it was magical",What is the key event in story 174?,"Overnight, a massive beanstalk reached the clouds",What surprising moment occurs in story 174?,She climbed and found a city of forgotten gods,What happens near the end of story 174?,They begged her not to leave them again.,What is the overall theme of story 174?,They begged her not to leave them again.
175,The Man’s Fate 175,"A violinist played on the streets for coins. One day, a stranger stopped and wept as if he knew the song. The violinist asked why, and the man replied, “That was the lullaby I sang to my son.” The violinist had no father.",What happens at the beginning of story 175?,A violinist played on the streets for coins,What is the key event in story 175?,"One day, a stranger stopped and wept as if he knew the song",What surprising moment occurs in story 175?,"The violinist asked why, and the man replied, “That was the lullaby I sang to my son.” The violinist had no father.",What happens near the end of story 175?,"The violinist asked why, and the man replied, “That was the lullaby I sang to my son.” The violinist had no father.",What is the overall theme of story 175?,"The violinist asked why, and the man replied, “That was the lullaby I sang to my son.” The violinist had no father."
176,Mystery Tale 176,"A lighthouse keeper never left his post. People wondered why he stayed alone for decades. One night, a ship finally approached the shore. It was crewed by ghosts waiting for him.",What happens at the beginning of story 176?,A lighthouse keeper never left his post,What is the key event in story 176?,People wondered why he stayed alone for decades,What surprising moment occurs in story 176?,"One night, a ship finally approached the shore",What happens near the end of story 176?,It was crewed by ghosts waiting for him.,What is the overall theme of story 176?,It was crewed by ghosts waiting for him.
177,The Boy’s Journey 177,"A boy touched a glowing rock and suddenly understood every animal’s speech. Birds complained about humans; dogs begged for treats; ants whispered of their kingdoms. Overwhelmed, he begged the rock to take the gift back. The animals only laughed.",What happens at the beginning of story 177?,A boy touched a glowing rock and suddenly understood every animal’s speech,What is the key event in story 177?,Birds complained about humans; dogs begged for treats; ants whispered of their kingdoms,What surprising moment occurs in story 177?,"Overwhelmed, he begged the rock to take the gift back",What happens near the end of story 177?,The animals only laughed.,What is the overall theme of story 177?,The animals only laughed.
178,The Girl’s Secret 178,"A young knight defeated a dragon. Instead of dying, the dragon transformed into a human girl. “You freed me,” she said, smiling. He realized he had slain his greatest ally.",What happens at the beginning of story 178?,A young knight defeated a dragon,What is the key event in story 178?,"Instead of dying, the dragon transformed into a human girl",What surprising moment occurs in story 178?,"“You freed me,” she said, smiling",What happens near the end of story 178?,He realized he had slain his greatest ally.,What is the overall theme of story 178?,He realized he had slain his greatest ally.
179,The Girl’s Secret 179,"A girl made paper boats and sent them down the river. They always vanished quickly. One day, a giant paper ship returned, filled with tiny paper people calling her “Captain.”",What happens at the beginning of story 179?,A girl made paper boats and sent them down the river,What is the key event in story 179?,They always vanished quickly,What surprising moment occurs in story 179?,"One day, a giant paper ship returned, filled with tiny paper people calling her “Captain.”",What happens near the end of story 179?,"One day, a giant paper ship returned, filled with tiny paper people calling her “Captain.”",What is the overall theme of story 179?,"One day, a giant paper ship returned, filled with tiny paper people calling her “Captain.”"
180,Mystery Tale 180,"A photographer captured the same shadow in every picture. It didn’t matter who or what he photographed. One day, the shadow smiled at him. The next morning, he was gone.",What happens at the beginning of story 180?,A photographer captured the same shadow in every picture,What is the key event in story 180?,It didn’t matter who or what he photographed,What surprising moment occurs in story 180?,"One day, the shadow smiled at him",What happens near the end of story 180?,"The next morning, he was gone.",What is the overall theme of story 180?,"The next morning, he was gone."
181,Mystery Tale 181,"A magician’s apprentice discovered a spell that created life. He made a friend from fire, another from water, and one from stone. They played happily until the master returned. The creations bowed to him, not the apprentice.",What happens at the beginning of story 181?,A magician’s apprentice discovered a spell that created life,What is the key event in story 181?,"He made a friend from fire, another from water, and one from stone",What surprising moment occurs in story 181?,They played happily until the master returned,What happens near the end of story 181?,"The creations bowed to him, not the apprentice.",What is the overall theme of story 181?,"The creations bowed to him, not the apprentice."
182,The Boy’s Journey 182,"A boy loved reading so much that he wished to live inside a story. One night, his wish came true, and he entered his favorite book. But every character stared at him in confusion. “You don’t belong here,” they said.",What happens at the beginning of story 182?,A boy loved reading so much that he wished to live inside a story,What is the key event in story 182?,"One night, his wish came true, and he entered his favorite book",What surprising moment occurs in story 182?,But every character stared at him in confusion,What happens near the end of story 182?,"“You don’t belong here,” they said.",What is the overall theme of story 182?,"“You don’t belong here,” they said."
183,The Man’s Fate 183,"A woman’s mirror never showed her reflection. Instead, it showed another version of her life. One day, the mirror self whispered, “Switch with me.” And she did.",What happens at the beginning of story 183?,A woman’s mirror never showed her reflection,What is the key event in story 183?,"Instead, it showed another version of her life",What surprising moment occurs in story 183?,"One day, the mirror self whispered, “Switch with me.” And she did.",What happens near the end of story 183?,"One day, the mirror self whispered, “Switch with me.” And she did.",What is the overall theme of story 183?,"One day, the mirror self whispered, “Switch with me.” And she did."
184,The Man’s Fate 184,"A fisherman caught a golden fish. The fish promised him three wishes if he let it go. He wished for wealth, health, and happiness. The fish laughed—it had meant three wishes for itself.",What happens at the beginning of story 184?,A fisherman caught a golden fish,What is the key event in story 184?,The fish promised him three wishes if he let it go,What surprising moment occurs in story 184?,"He wished for wealth, health, and happiness",What happens near the end of story 184?,The fish laughed—it had meant three wishes for itself.,What is the overall theme of story 184?,The fish laughed—it had meant three wishes for itself.
185,The Boy’s Journey 185,"A boy built a kite so big it lifted him into the sky. He soared over mountains, oceans, and clouds. When he tried to return, the wind wouldn’t let go. He never touched the ground again.",What happens at the beginning of story 185?,A boy built a kite so big it lifted him into the sky,What is the key event in story 185?,"He soared over mountains, oceans, and clouds",What surprising moment occurs in story 185?,"When he tried to return, the wind wouldn’t let go",What happens near the end of story 185?,He never touched the ground again.,What is the overall theme of story 185?,He never touched the ground again.
186,The Girl’s Secret 186,"A girl found a locked music box. She searched years for the key and finally opened it. A voice whispered, “Thank you for freeing me.” Darkness poured into the room.",What happens at the beginning of story 186?,A girl found a locked music box,What is the key event in story 186?,She searched years for the key and finally opened it,What surprising moment occurs in story 186?,"A voice whispered, “Thank you for freeing me.” Darkness poured into the room.",What happens near the end of story 186?,"A voice whispered, “Thank you for freeing me.” Darkness poured into the room.",What is the overall theme of story 186?,"A voice whispered, “Thank you for freeing me.” Darkness poured into the room."
187,Mystery Tale 187,"An inventor created a clock that turned back time. At first, he used it to fix small mistakes. Then he undid years, then decades. Finally, time itself stopped ticking.",What happens at the beginning of story 187?,An inventor created a clock that turned back time,What is the key event in story 187?,"At first, he used it to fix small mistakes",What surprising moment occurs in story 187?,"Then he undid years, then decades",What happens near the end of story 187?,"Finally, time itself stopped ticking.",What is the overall theme of story 187?,"Finally, time itself stopped ticking."
188,The Man’s Fate 188,"The old fisherman cast his net into the sea, hoping for a catch. Instead, he pulled up a golden crown tangled in the ropes. Unsure whether to keep it or toss it back, he stared at the horizon. The waves whispered that some treasures are heavier than they look.",What happens at the beginning of story 188?,"The old fisherman cast his net into the sea, hoping for a catch",What is the key event in story 188?,"Instead, he pulled up a golden crown tangled in the ropes",What surprising moment occurs in story 188?,"Unsure whether to keep it or toss it back, he stared at the horizon",What happens near the end of story 188?,The waves whispered that some treasures are heavier than they look.,What is the overall theme of story 188?,The waves whispered that some treasures are heavier than they look.
189,A Child’s Wish 189,"A child built a tower of blocks taller than herself. With one careless push, her cat toppled it over. She gasped, then laughed, rebuilding it piece by piece. The cat watched proudly, as if teaching her patience.",What happens at the beginning of story 189?,A child built a tower of blocks taller than herself,What is the key event in story 189?,"With one careless push, her cat toppled it over",What surprising moment occurs in story 189?,"She gasped, then laughed, rebuilding it piece by piece",What happens near the end of story 189?,"The cat watched proudly, as if teaching her patience.",What is the overall theme of story 189?,"The cat watched proudly, as if teaching her patience."
190,Mystery Tale 190,"The astronaut drifted away from the shuttle, tether cut. His radio went silent, stars surrounding him. Just when despair settled in, he saw a small pod approaching. Hope had found him in the void.",What happens at the beginning of story 190?,"The astronaut drifted away from the shuttle, tether cut",What is the key event in story 190?,"His radio went silent, stars surrounding him",What surprising moment occurs in story 190?,"Just when despair settled in, he saw a small pod approaching",What happens near the end of story 190?,Hope had found him in the void.,What is the overall theme of story 190?,Hope had found him in the void.
